题号,题目,所属产品,当前chunkid列表,图片id列表,是否修改
163,使用发电机前，对发动机机油进行使用前检查十分重要，正确的步骤是什么？,发电机,"[""manual_01d719162576_small_0005_0001_0000"", ""manual_01d719162576_small_0008_0001_0000"", ""manual_01d719162576_small_0009_0000_0000"", ""manual_01d719162576_small_0009_0001_0000"", ""manual_01d719162576_small_0010_0000_0000"", ""manual_01d719162576_small_0010_0001_0000"", ""manual_01d719162576_mid_0005_0001"", ""manual_01d719162576_mid_0008_0001"", ""manual_01d719162576_mid_0009_0000"", ""manual_01d719162576_mid_0009_0001"", ""manual_01d719162576_mid_0010_0000"", ""manual_01d719162576_mid_0010_0001"", ""manual_01d719162576_big_0005"", ""manual_01d719162576_big_0008"", ""manual_01d719162576_big_0009"", ""manual_01d719162576_big_0010""]","[""generator_17"", ""generator_18""]",
164,根据手册说明，启动发电机发动机的最后三个步骤是什么？,发电机,"[""manual_01d719162576_small_0012_0000_0000"", ""manual_01d719162576_mid_0012_0000"", ""manual_01d719162576_big_0012""]","[""Manual18_29"", ""generator_16""]",
165,发电机的电池电量不足了，该如何正确充电？,发电机,"[""manual_01d719162576_small_0016_0000_0000"", ""manual_01d719162576_small_0016_0000_0001"", ""manual_01d719162576_small_0016_0000_0002"", ""manual_01d719162576_small_0016_0001_0000"", ""manual_01d719162576_mid_0016_0000"", ""manual_01d719162576_mid_0016_0001"", ""manual_01d719162576_big_0016""]","[""Manual18_37"", ""Manual18_38"", ""Manual18_39""]",
166,我需要让发电机的发动机停机，告诉我该如何操作。,发电机,"[""manual_01d719162576_small_0006_0000_0000"", ""manual_01d719162576_small_0017_0000_0000"", ""manual_01d719162576_small_0018_0000_0000"", ""manual_01d719162576_mid_0006_0000"", ""manual_01d719162576_mid_0017_0000"", ""manual_01d719162576_mid_0018_0000"", ""manual_01d719162576_big_0006"", ""manual_01d719162576_big_0017"", ""manual_01d719162576_big_0018""]","[""Manual18_40"", ""Manual18_41"", ""generator_22"", ""generator_23"", ""generator_24""]",
167,根据手册的建议，使用发电机时该如何检查火花塞？,发电机,"[""manual_01d719162576_small_0019_0000_0000"", ""manual_01d719162576_small_0020_0000_0000"", ""manual_01d719162576_small_0021_0000_0000"", ""manual_01d719162576_mid_0019_0000"", ""manual_01d719162576_mid_0020_0000"", ""manual_01d719162576_mid_0021_0000"", ""manual_01d719162576_big_0019"", ""manual_01d719162576_big_0020"", ""manual_01d719162576_big_0021""]","[""Manual18_44"", ""Manual18_45"", ""Manual18_46"", ""Manual18_47""]",
168,为了正确更换发电机的发动机机油，我需要遵循的前六个步骤是什么？,发电机,"[""manual_01d719162576_small_0022_0000_0000"", ""manual_01d719162576_small_0023_0000_0000"", ""manual_01d719162576_mid_0022_0000"", ""manual_01d719162576_mid_0023_0000"", ""manual_01d719162576_big_0022"", ""manual_01d719162576_big_0023""]","[""Manual18_50"", ""generator_25"", ""generator_26""]",
169,我在操作发电机空气滤清器时出现了失误，请告诉我正确的步骤。,发电机,"[""manual_01d719162576_small_0026_0000_0000"", ""manual_01d719162576_small_0026_0001_0000"", ""manual_01d719162576_mid_0026_0000"", ""manual_01d719162576_mid_0026_0001"", ""manual_01d719162576_big_0026""]","[""Manual18_61"", ""Manual18_62"", ""Manual18_63""]",
170,如果发电机的发动机无法启动，我该怎么办？,发电机,"[""manual_01d719162576_small_0011_0001_0000"", ""manual_01d719162576_small_0027_0000_0001"", ""manual_01d719162576_small_0028_0000_0000"", ""manual_01d719162576_mid_0011_0001"", ""manual_01d719162576_mid_0027_0000"", ""manual_01d719162576_mid_0028_0000"", ""manual_01d719162576_big_0011"", ""manual_01d719162576_big_0027"", ""manual_01d719162576_big_0028""]","[""Manual18_65"", ""generator_27"", ""generator_28"", ""generator_29""]",
171,我需要将发电机的燃油排空，该如何正确操作？,发电机,"[""manual_01d719162576_small_0007_0001_0000"", ""manual_01d719162576_small_0008_0000_0000"", ""manual_01d719162576_small_0029_0000_0000"", ""manual_01d719162576_small_0029_0000_0001"", ""manual_01d719162576_mid_0007_0001"", ""manual_01d719162576_mid_0008_0000"", ""manual_01d719162576_mid_0029_0000"", ""manual_01d719162576_big_0007"", ""manual_01d719162576_big_0008"", ""manual_01d719162576_big_0029""]","[""Manual18_66"", ""Manual18_67""]",
172,使用该发电机为对电压敏感的精密设备供电前，我需要做什么？,发电机,"[""manual_01d719162576_small_0014_0000_0000"", ""manual_01d719162576_mid_0014_0000"", ""manual_01d719162576_big_0014""]",[],
181,水泵发动机安全停机的正确步骤是什么？,水泵,"[""manual_4e007096787b_small_0020_0000_0000"", ""manual_4e007096787b_small_0020_0001_0000"", ""manual_4e007096787b_mid_0020_0000"", ""manual_4e007096787b_mid_0020_0001"", ""manual_4e007096787b_big_0020""]","[""Manual31_17"", ""Manual31_18"", ""pump_11""]",
182,水泵的核心部件有哪些？,水泵,"[""manual_4e007096787b_small_0008_0000_0000"", ""manual_4e007096787b_small_0008_0000_0001"", ""manual_4e007096787b_mid_0008_0000"", ""manual_4e007096787b_big_0008""]","[""pump_16""]",
183,清洗油箱滤网的详细步骤是什么？,发电机；水泵,"[""manual_01d719162576_small_0027_0000_0000"", ""manual_4e007096787b_small_0032_0000_0000"", ""manual_01d719162576_mid_0027_0000"", ""manual_4e007096787b_mid_0032_0000"", ""manual_01d719162576_big_0027"", ""manual_4e007096787b_big_0032""]","[""Manual31_32""]",
184,水泵安全排放燃油的正确步骤是什么？,水泵,"[""manual_4e007096787b_small_0005_0000_0000"", ""manual_4e007096787b_small_0005_0001_0000"", ""manual_4e007096787b_small_0039_0000_0000"", ""manual_4e007096787b_mid_0005_0000"", ""manual_4e007096787b_mid_0005_0001"", ""manual_4e007096787b_mid_0039_0000"", ""manual_4e007096787b_big_0005"", ""manual_4e007096787b_big_0039""]","[""Manual31_41"", ""pump_02"", ""pump_03""]",
185,水泵无法抽水的潜在原因有哪些，该如何有效诊断并解决这些问题？,水泵,"[""manual_4e007096787b_small_0010_0001_0000"", ""manual_4e007096787b_small_0010_0002_0000"", ""manual_4e007096787b_small_0017_0000_0000"", ""manual_4e007096787b_small_0017_0001_0000"", ""manual_4e007096787b_small_0027_0000_0000"", ""manual_4e007096787b_small_0037_0000_0000"", ""manual_4e007096787b_mid_0010_0001"", ""manual_4e007096787b_mid_0010_0002"", ""manual_4e007096787b_mid_0017_0000"", ""manual_4e007096787b_mid_0017_0001"", ""manual_4e007096787b_mid_0027_0000"", ""manual_4e007096787b_mid_0037_0000"", ""manual_4e007096787b_big_0010"", ""manual_4e007096787b_big_0017"", ""manual_4e007096787b_big_0027"", ""manual_4e007096787b_big_0037""]","[""Manual31_5""]",
303,"From three different observing views, what buttons and interfaces should this eReader have?",Color E-Reader,"[""Color_E_Reader_cd8f664e4860_small_0005_0000_0000"", ""Color_E_Reader_cd8f664e4860_small_0006_0000_0000"", ""Color_E_Reader_cd8f664e4860_small_0006_0001_0000"", ""Color_E_Reader_cd8f664e4860_small_0006_0001_0001"", ""Color_E_Reader_cd8f664e4860_small_0006_0001_0002"", ""Color_E_Reader_cd8f664e4860_small_0007_0000_0000"", ""Color_E_Reader_cd8f664e4860_small_0008_0000_0000"", ""Color_E_Reader_cd8f664e4860_small_0015_0000_0000"", ""Color_E_Reader_cd8f664e4860_mid_0005_0000"", ""Color_E_Reader_cd8f664e4860_mid_0006_0000"", ""Color_E_Reader_cd8f664e4860_mid_0006_0001"", ""Color_E_Reader_cd8f664e4860_mid_0007_0000"", ""Color_E_Reader_cd8f664e4860_mid_0008_0000"", ""Color_E_Reader_cd8f664e4860_mid_0015_0000"", ""Color_E_Reader_cd8f664e4860_big_0005"", ""Color_E_Reader_cd8f664e4860_big_0006"", ""Color_E_Reader_cd8f664e4860_big_0007"", ""Color_E_Reader_cd8f664e4860_big_0008"", ""Color_E_Reader_cd8f664e4860_big_0015""]","[""Manual13_0"", ""Manual13_1"", ""Manual13_2""]",
304,What do the functions of Main Menu and Browser History of the eReader can do?,Color E-Reader,"[""Color_E_Reader_cd8f664e4860_small_0016_0000_0000"", ""Color_E_Reader_cd8f664e4860_small_0016_0000_0001"", ""Color_E_Reader_cd8f664e4860_small_0017_0000_0000"", ""Color_E_Reader_cd8f664e4860_small_0017_0000_0001"", ""Color_E_Reader_cd8f664e4860_small_0017_0000_0002"", ""Color_E_Reader_cd8f664e4860_mid_0016_0000"", ""Color_E_Reader_cd8f664e4860_mid_0017_0000"", ""Color_E_Reader_cd8f664e4860_big_0016"", ""Color_E_Reader_cd8f664e4860_big_0017""]","[""Manual13_3"", ""Manual13_4""]",
305,"When in eBook mode of this eReader, what will happen after pressing ""M"" botton?",Color E-Reader,"[""Color_E_Reader_cd8f664e4860_small_0018_0000_0000"", ""Color_E_Reader_cd8f664e4860_small_0019_0000_0000"", ""Color_E_Reader_cd8f664e4860_small_0019_0000_0001"", ""Color_E_Reader_cd8f664e4860_mid_0018_0000"", ""Color_E_Reader_cd8f664e4860_mid_0019_0000"", ""Color_E_Reader_cd8f664e4860_big_0018"", ""Color_E_Reader_cd8f664e4860_big_0019""]","[""eReader_08""]",
306,"If I want to listen to music using this eReader, what should I do?",Color E-Reader,"[""Color_E_Reader_cd8f664e4860_small_0003_0000_0000"", ""Color_E_Reader_cd8f664e4860_small_0006_0001_0000"", ""Color_E_Reader_cd8f664e4860_small_0006_0001_0001"", ""Color_E_Reader_cd8f664e4860_small_0006_0001_0002"", ""Color_E_Reader_cd8f664e4860_small_0016_0000_0000"", ""Color_E_Reader_cd8f664e4860_small_0016_0000_0001"", ""Color_E_Reader_cd8f664e4860_small_0021_0000_0000"", ""Color_E_Reader_cd8f664e4860_small_0021_0000_0001"", ""Color_E_Reader_cd8f664e4860_small_0021_0000_0002"", ""Color_E_Reader_cd8f664e4860_small_0021_0001_0000"", ""Color_E_Reader_cd8f664e4860_small_0021_0001_0001"", ""Color_E_Reader_cd8f664e4860_small_0031_0000_0000"", ""Color_E_Reader_cd8f664e4860_small_0032_0000_0000"", ""Color_E_Reader_cd8f664e4860_small_0041_0000_0001"", ""Color_E_Reader_cd8f664e4860_small_0041_0000_0002"", ""Color_E_Reader_cd8f664e4860_mid_0003_0000"", ""Color_E_Reader_cd8f664e4860_mid_0006_0001"", ""Color_E_Reader_cd8f664e4860_mid_0016_0000"", ""Color_E_Reader_cd8f664e4860_mid_0021_0000"", ""Color_E_Reader_cd8f664e4860_mid_0021_0001"", ""Color_E_Reader_cd8f664e4860_mid_0031_0000"", ""Color_E_Reader_cd8f664e4860_mid_0032_0000"", ""Color_E_Reader_cd8f664e4860_mid_0041_0000"", ""Color_E_Reader_cd8f664e4860_big_0003"", ""Color_E_Reader_cd8f664e4860_big_0006"", ""Color_E_Reader_cd8f664e4860_big_0016"", ""Color_E_Reader_cd8f664e4860_big_0021"", ""Color_E_Reader_cd8f664e4860_big_0031"", ""Color_E_Reader_cd8f664e4860_big_0032"", ""Color_E_Reader_cd8f664e4860_big_0041""]","[""Manual13_0""]",
307,"Can this eReader record voice? If so, how do I operate this feature?",Color E-Reader,"[""Color_E_Reader_cd8f664e4860_small_0003_0000_0000"", ""Color_E_Reader_cd8f664e4860_small_0006_0000_0000"", ""Color_E_Reader_cd8f664e4860_small_0016_0000_0000"", ""Color_E_Reader_cd8f664e4860_small_0024_0000_0000"", ""Color_E_Reader_cd8f664e4860_mid_0003_0000"", ""Color_E_Reader_cd8f664e4860_mid_0006_0000"", ""Color_E_Reader_cd8f664e4860_mid_0016_0000"", ""Color_E_Reader_cd8f664e4860_mid_0024_0000"", ""Color_E_Reader_cd8f664e4860_big_0003"", ""Color_E_Reader_cd8f664e4860_big_0006"", ""Color_E_Reader_cd8f664e4860_big_0016"", ""Color_E_Reader_cd8f664e4860_big_0024""]","[""Manual13_11"", ""Manual13_12""]",
308,"I can't find the way to play video using this eReader, can you tell me how to do that?",Color E-Reader,"[""Color_E_Reader_cd8f664e4860_small_0015_0000_0000"", ""Color_E_Reader_cd8f664e4860_small_0016_0000_0000"", ""Color_E_Reader_cd8f664e4860_small_0022_0000_0000"", ""Color_E_Reader_cd8f664e4860_small_0031_0000_0000"", ""Color_E_Reader_cd8f664e4860_small_0041_0000_0001"", ""Color_E_Reader_cd8f664e4860_small_0041_0000_0002"", ""Color_E_Reader_cd8f664e4860_mid_0015_0000"", ""Color_E_Reader_cd8f664e4860_mid_0016_0000"", ""Color_E_Reader_cd8f664e4860_mid_0022_0000"", ""Color_E_Reader_cd8f664e4860_mid_0031_0000"", ""Color_E_Reader_cd8f664e4860_mid_0041_0000"", ""Color_E_Reader_cd8f664e4860_big_0015"", ""Color_E_Reader_cd8f664e4860_big_0016"", ""Color_E_Reader_cd8f664e4860_big_0022"", ""Color_E_Reader_cd8f664e4860_big_0031"", ""Color_E_Reader_cd8f664e4860_big_0041""]","[""Manual13_9""]",
309,"Can this eReader become a photo viewer? If so, how do I operate this feature?",Color E-Reader,"[""Color_E_Reader_cd8f664e4860_small_0003_0000_0000"", ""Color_E_Reader_cd8f664e4860_small_0005_0000_0000"", ""Color_E_Reader_cd8f664e4860_small_0006_0000_0000"", ""Color_E_Reader_cd8f664e4860_small_0006_0001_0000"", ""Color_E_Reader_cd8f664e4860_small_0006_0001_0001"", ""Color_E_Reader_cd8f664e4860_small_0006_0001_0002"", ""Color_E_Reader_cd8f664e4860_small_0015_0000_0000"", ""Color_E_Reader_cd8f664e4860_small_0016_0000_0000"", ""Color_E_Reader_cd8f664e4860_small_0023_0000_0000"", ""Color_E_Reader_cd8f664e4860_small_0023_0000_0001"", ""Color_E_Reader_cd8f664e4860_small_0031_0000_0000"", ""Color_E_Reader_cd8f664e4860_small_0032_0000_0000"", ""Color_E_Reader_cd8f664e4860_small_0033_0000_0000"", ""Color_E_Reader_cd8f664e4860_small_0034_0000_0000"", ""Color_E_Reader_cd8f664e4860_mid_0003_0000"", ""Color_E_Reader_cd8f664e4860_mid_0005_0000"", ""Color_E_Reader_cd8f664e4860_mid_0006_0000"", ""Color_E_Reader_cd8f664e4860_mid_0006_0001"", ""Color_E_Reader_cd8f664e4860_mid_0015_0000"", ""Color_E_Reader_cd8f664e4860_mid_0016_0000"", ""Color_E_Reader_cd8f664e4860_mid_0023_0000"", ""Color_E_Reader_cd8f664e4860_mid_0031_0000"", ""Color_E_Reader_cd8f664e4860_mid_0032_0000"", ""Color_E_Reader_cd8f664e4860_mid_0033_0000"", ""Color_E_Reader_cd8f664e4860_mid_0034_0000"", ""Color_E_Reader_cd8f664e4860_big_0003"", ""Color_E_Reader_cd8f664e4860_big_0005"", ""Color_E_Reader_cd8f664e4860_big_0006"", ""Color_E_Reader_cd8f664e4860_big_0015"", ""Color_E_Reader_cd8f664e4860_big_0016"", ""Color_E_Reader_cd8f664e4860_big_0023"", ""Color_E_Reader_cd8f664e4860_big_0031"", ""Color_E_Reader_cd8f664e4860_big_0032"", ""Color_E_Reader_cd8f664e4860_big_0033"", ""Color_E_Reader_cd8f664e4860_big_0034""]","[""Manual13_0""]",
310,"When using this eReader, what kinds of trobles might I encounter and how to solve them?",Color E-Reader,"[""Color_E_Reader_cd8f664e4860_small_0002_0000_0001"", ""Color_E_Reader_cd8f664e4860_small_0006_0001_0000"", ""Color_E_Reader_cd8f664e4860_small_0006_0001_0001"", ""Color_E_Reader_cd8f664e4860_small_0006_0001_0002"", ""Color_E_Reader_cd8f664e4860_small_0028_0000_0000"", ""Color_E_Reader_cd8f664e4860_small_0033_0000_0000"", ""Color_E_Reader_cd8f664e4860_small_0034_0000_0000"", ""Color_E_Reader_cd8f664e4860_small_0042_0000_0000"", ""Color_E_Reader_cd8f664e4860_small_0042_0000_0001"", ""Color_E_Reader_cd8f664e4860_small_0042_0000_0002"", ""Color_E_Reader_cd8f664e4860_mid_0002_0000"", ""Color_E_Reader_cd8f664e4860_mid_0006_0001"", ""Color_E_Reader_cd8f664e4860_mid_0028_0000"", ""Color_E_Reader_cd8f664e4860_mid_0033_0000"", ""Color_E_Reader_cd8f664e4860_mid_0034_0000"", ""Color_E_Reader_cd8f664e4860_mid_0042_0000"", ""Color_E_Reader_cd8f664e4860_big_0002"", ""Color_E_Reader_cd8f664e4860_big_0006"", ""Color_E_Reader_cd8f664e4860_big_0028"", ""Color_E_Reader_cd8f664e4860_big_0033"", ""Color_E_Reader_cd8f664e4860_big_0034"", ""Color_E_Reader_cd8f664e4860_big_0042""]",[],
322,What are identification numbers of my jetski? I don't understand that.,Yamaha WaveRunner 2005,"[""Yamaha_WaveRunner_2005_30e68d52ed2b_small_0004_0000_0000"", ""Yamaha_WaveRunner_2005_30e68d52ed2b_small_0005_0000_0000"", ""Yamaha_WaveRunner_2005_30e68d52ed2b_small_0005_0000_0001"", ""Yamaha_WaveRunner_2005_30e68d52ed2b_small_0005_0000_0002"", ""Yamaha_WaveRunner_2005_30e68d52ed2b_small_0006_0000_0000"", ""Yamaha_WaveRunner_2005_30e68d52ed2b_small_0006_0000_0001"", ""Yamaha_WaveRunner_2005_30e68d52ed2b_small_0006_0000_0002"", ""Yamaha_WaveRunner_2005_30e68d52ed2b_small_0007_0000_0000"", ""Yamaha_WaveRunner_2005_30e68d52ed2b_small_0007_0000_0001"", ""Yamaha_WaveRunner_2005_30e68d52ed2b_mid_0004_0000"", ""Yamaha_WaveRunner_2005_30e68d52ed2b_mid_0005_0000"", ""Yamaha_WaveRunner_2005_30e68d52ed2b_mid_0006_0000"", ""Yamaha_WaveRunner_2005_30e68d52ed2b_mid_0007_0000"", ""Yamaha_WaveRunner_2005_30e68d52ed2b_big_0004"", ""Yamaha_WaveRunner_2005_30e68d52ed2b_big_0005"", ""Yamaha_WaveRunner_2005_30e68d52ed2b_big_0006"", ""Yamaha_WaveRunner_2005_30e68d52ed2b_big_0007""]","[""jetski_01"", ""jetski_02"", ""jetski_03""]",
323,I've heard that my jetski has cruising limitations. Please introduce them.,Yamaha WaveRunner 2005,"[""Yamaha_WaveRunner_2005_30e68d52ed2b_small_0018_0000_0000"", ""Yamaha_WaveRunner_2005_30e68d52ed2b_small_0018_0001_0000"", ""Yamaha_WaveRunner_2005_30e68d52ed2b_small_0018_0001_0001"", ""Yamaha_WaveRunner_2005_30e68d52ed2b_small_0018_0002_0000"", ""Yamaha_WaveRunner_2005_30e68d52ed2b_small_0019_0000_0000"", ""Yamaha_WaveRunner_2005_30e68d52ed2b_small_0019_0000_0001"", ""Yamaha_WaveRunner_2005_30e68d52ed2b_small_0019_0000_0002"", ""Yamaha_WaveRunner_2005_30e68d52ed2b_mid_0018_0000"", ""Yamaha_WaveRunner_2005_30e68d52ed2b_mid_0018_0001"", ""Yamaha_WaveRunner_2005_30e68d52ed2b_mid_0018_0002"", ""Yamaha_WaveRunner_2005_30e68d52ed2b_mid_0019_0000"", ""Yamaha_WaveRunner_2005_30e68d52ed2b_big_0018"", ""Yamaha_WaveRunner_2005_30e68d52ed2b_big_0019""]","[""Manual20_16"", ""Manual20_17"", ""Manual20_18""]",
324,I've heard that my jetski has cruising limitations. Please introduce them.,Yamaha WaveRunner 2005,"[""Yamaha_WaveRunner_2005_30e68d52ed2b_small_0018_0000_0000"", ""Yamaha_WaveRunner_2005_30e68d52ed2b_small_0018_0001_0000"", ""Yamaha_WaveRunner_2005_30e68d52ed2b_small_0018_0001_0001"", ""Yamaha_WaveRunner_2005_30e68d52ed2b_small_0019_0000_0000"", ""Yamaha_WaveRunner_2005_30e68d52ed2b_small_0019_0000_0002"", ""Yamaha_WaveRunner_2005_30e68d52ed2b_mid_0018_0000"", ""Yamaha_WaveRunner_2005_30e68d52ed2b_mid_0018_0001"", ""Yamaha_WaveRunner_2005_30e68d52ed2b_mid_0019_0000"", ""Yamaha_WaveRunner_2005_30e68d52ed2b_big_0018"", ""Yamaha_WaveRunner_2005_30e68d52ed2b_big_0019""]",[],
